Mineral Name	reference to the mineral
10BD3	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Ol135 85 En35 15	Weber et al., EPSL 569, 117072.
IC Pep	Morlok et al.(2017) Icarus 123-138.
Allende	Morlok et al.(2020) Planetary and Space Science 193, 105078.
Tagish Lake	Morlok et al. (2020) Planetary and Space Science 193, 105078.
10 BD5 Dark1	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Mars Regolith	Morlok et al., Icarus 324, 86-103.
Anorthite 50 syn	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).                                 #######################################
IT vdK	Morlok et al.(2017) Icarus 123-138.
Apollo 14259,672	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Murchison PL 89414	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Mars Surface	Morlok et al., Icarus 324, 86-103.
Mars Regolith	Morlok et al., Icarus 324, 86-103.
10 BD2 Fsp2	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
Mars Surface	Morlok et al., Icarus 324, 86-103.
IT vdK	Morlok et al.(2017) Icarus 123-138.
NVPa Stock	Morlok et al.(2017) Icarus 123-138.
Apollo 67481,96	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Venus Surface	Morlok et al.(2019) Icarus 324, 86-103.
Ol135 70 En35 30	Weber et al., EPSL 569, 117072.
Chelyabinsk Melt	Morlok et al.(2017) Icarus 284, 431-442.
NVPa Stock	Morlok et al.(2017) Icarus 123-138.
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
Earth BS	Morlok et al., Icarus 324, 86-103.
CB vdK	Morlok et al.(2017) Icarus 123-138.
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
